epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68975,1.27044,2.6581,1.4983,0.00538,0.9375,0.59892,0.40366,0.73831,2.72638,1.22482,0.00012,0.00012,0.00012
2,12.4945,1.02171,2.36912,1.34476,0.00574,1,0.75223,0.58276,0.63815,2.63342,1.04302,0.00025802,0.00025802,0.00025802
3,15.2649,0.92587,1.80875,1.24947,0.00574,1,0.84686,0.63881,0.72456,2.50869,1.05737,0.000393908,0.000393908,0.000393908
4,18.0659,0.94749,1.36783,1.27633,0.85682,0.58778,0.83011,0.58842,0.8235,2.15163,1.21303,0.000527663,0.000527663,0.000527663
5,20.8442,0.92878,1.16811,1.27319,0.84975,0.65649,0.82622,0.58006,0.82219,2.21567,1.22624,0.000659286,0.000659286,0.000659286
6,23.6311,0.93345,1.08484,1.24213,0.82522,0.84317,0.87554,0.65204,0.88508,1.98008,1.28986,0.000788777,0.000788777,0.000788777
7,26.334,0.91758,0.97556,1.2235,0.90255,0.57886,0.83971,0.53861,1.09917,2.25177,1.67567,0.000916135,0.000916135,0.000916135
8,29.0216,0.94281,0.95519,1.21991,0.72677,0.57,0.665,0.41038,1.32068,2.18618,1.84854,0.00104136,0.00104136,0.00104136
9,31.6552,0.90874,0.93869,1.23221,0.66171,0.52396,0.67316,0.32624,1.46917,2.35207,2.2033,0.00116446,0.00116446,0.00116446
10,34.3134,0.93982,0.92597,1.23079,0.61192,0.70394,0.67964,0.46704,0.95041,1.6696,1.41849,0.00128542,0.00128542,0.00128542
11,36.9958,0.93564,0.89956,1.23358,0.68854,0.75893,0.76526,0.53246,0.98168,1.69292,1.3505,0.00140425,0.00140425,0.00140425
12,39.7038,0.95224,0.8414,1.22863,0.43093,0.6085,0.46817,0.29361,1.12165,1.81159,1.49359,0.00152094,0.00152094,0.00152094
13,42.3436,0.98558,0.86452,1.2484,0.68156,0.84083,0.7813,0.48,1.13258,1.36917,1.64396,0.00163551,0.00163551,0.00163551
14,45.0052,1.0129,0.86801,1.27604,0.62489,0.625,0.6933,0.45654,1.29058,1.47766,1.81904,0.00174794,0.00174794,0.00174794
15,47.6586,0.97249,0.82284,1.25358,0.7794,0.64286,0.76658,0.48409,1.33899,1.7636,1.89126,0.00178677,0.00178677,0.00178677
16,50.3325,0.92682,0.75644,1.21889,0.87292,0.49065,0.63672,0.34546,1.59009,1.746,2.08963,0.00177154,0.00177154,0.00177154
17,53.0088,0.99907,0.79107,1.27309,0.31668,0.27679,0.13963,0.06151,2.45312,2.45529,3.29998,0.00175631,0.00175631,0.00175631
18,55.758,1.00245,0.76694,1.25827,0.37342,0.38393,0.34873,0.20957,1.44682,4.19979,2.0282,0.00174108,0.00174108,0.00174108
19,58.4438,0.99722,0.76213,1.26128,0.63862,0.6875,0.7179,0.4451,1.11785,1.93644,1.63119,0.00172585,0.00172585,0.00172585
20,61.1359,0.93456,0.72033,1.20852,0.36327,0.3125,0.30953,0.18543,1.76021,2.37539,2.28083,0.00171062,0.00171062,0.00171062
21,63.7676,0.93196,0.68061,1.23276,0.59904,0.60714,0.5682,0.37888,1.28626,1.90392,1.6857,0.00169538,0.00169538,0.00169538
