epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53608,1.64409,3.5422,1.44674,0.00333,1,0.69451,0.38697,0.95589,3.36514,1.08408,0.0002,0.0002,0.0002
2,10.4967,1.19436,2.14392,1.15258,0.00333,1,0.78168,0.52845,0.95327,3.26188,1.0424,0.000416802,0.000416802,0.000416802
3,13.3409,1.16675,1.71655,1.13867,1,0.3603,0.55765,0.23216,1.414,3.58194,1.56833,0.000630252,0.000630252,0.000630252
4,16.1214,1.14036,1.53514,1.14716,1,0.25625,0.5961,0.43284,1.09886,3.14297,1.11869,0.000840352,0.000840352,0.000840352
5,18.9038,1.12612,1.40255,1.12878,1,0.04918,0.50754,0.31224,1.11962,3.23978,1.13166,0.0010471,0.0010471,0.0010471
6,21.7007,1.15586,1.33908,1.15353,0.91366,0.52926,0.75894,0.49757,1.02464,2.54772,1.09027,0.0012505,0.0012505,0.0012505
7,24.5054,1.11934,1.22251,1.14035,0.84023,0.575,0.78835,0.48466,1.1398,1.94827,1.3472,0.00145055,0.00145055,0.00145055
8,27.2959,1.16051,1.13835,1.14551,0.28292,0.175,0.1776,0.09772,1.85456,3.15365,1.86448,0.00164724,0.00164724,0.00164724
9,30.1202,1.17588,1.09419,1.19429,0.37833,0.5,0.33679,0.18299,1.50366,2.6175,1.73008,0.00184059,0.00184059,0.00184059
10,32.9207,1.14303,0.98611,1.15182,0.47634,0.4,0.23906,0.13809,1.50544,3.02416,1.66529,0.00186292,0.00186292,0.00186292
11,35.7092,1.13494,0.90468,1.16281,0.09359,0.275,0.11374,0.08467,1.68085,5.20111,1.70975,0.00184769,0.00184769,0.00184769
12,38.5142,1.11745,0.88652,1.16929,0.64356,0.25,0.29887,0.18505,1.7749,2.32826,2.2182,0.00183246,0.00183246,0.00183246
13,41.3249,1.08341,0.80575,1.12961,0.12531,0.3,0.08024,0.03891,1.69469,8.48035,2.12514,0.00181723,0.00181723,0.00181723
14,44.1335,1.09338,0.79744,1.12636,0.593,0.55,0.5857,0.4232,1.07321,4.30638,1.23442,0.001802,0.001802,0.001802
15,46.948,1.06602,0.7408,1.11569,0.84742,0.65,0.80109,0.51116,1.14643,3.68102,1.16017,0.00178677,0.00178677,0.00178677
16,49.7071,1.06497,0.74083,1.12409,0.33218,0.63427,0.32264,0.21222,1.12358,2.83774,1.18912,0.00177154,0.00177154,0.00177154
17,52.4621,1.06604,0.71583,1.12365,0.54187,0.73936,0.63321,0.48878,1.01375,2.70278,1.10819,0.00175631,0.00175631,0.00175631
18,55.2597,1.0817,0.71082,1.14613,0.91716,0.8305,0.92207,0.68958,0.93423,1.61889,1.06398,0.00174108,0.00174108,0.00174108
19,58.0731,1.02198,0.68074,1.10309,0.92091,0.8,0.87772,0.60997,1.1338,0.92088,1.21182,0.00172585,0.00172585,0.00172585
20,60.8922,1.03153,0.68263,1.11461,0.96604,0.95,0.99172,0.7885,0.80519,0.5312,0.97713,0.00171062,0.00171062,0.00171062
21,63.6887,0.9891,0.64564,1.09575,0.88605,0.9,0.94785,0.70752,0.94405,0.7364,1.02013,0.00169538,0.00169538,0.00169538
22,66.5031,0.96709,0.61779,1.07259,0.97364,0.92357,0.94131,0.66352,1.07851,0.93984,1.10297,0.00168015,0.00168015,0.00168015
23,69.3714,1.04499,0.63323,1.11825,0.97469,0.9631,0.99243,0.57094,1.50538,0.71267,1.38343,0.00166492,0.00166492,0.00166492
24,72.2584,0.98502,0.60794,1.09415,1,0.97129,0.98596,0.76086,0.83562,0.60556,0.96717,0.00164969,0.00164969,0.00164969
25,75.1078,0.93367,0.59062,1.06175,0.83489,0.9,0.92517,0.69847,0.95573,0.71889,1.05088,0.00163446,0.00163446,0.00163446
26,77.923,0.96489,0.59103,1.08599,0.10074,0.175,0.05116,0.03192,1.90752,5.38109,2.13903,0.00161923,0.00161923,0.00161923
27,80.9069,0.9892,0.59069,1.07539,0.91438,0.95,0.96575,0.69686,0.93879,0.68281,1.06361,0.001604,0.001604,0.001604
28,83.7812,0.94026,0.57164,1.05684,0.90337,0.925,0.96,0.70487,0.96672,0.75535,1.04702,0.00158877,0.00158877,0.00158877
29,86.584,1.00239,0.59884,1.0858,0.99678,1,0.995,0.80102,0.83112,0.45865,0.96145,0.00157354,0.00157354,0.00157354
30,89.3893,0.93256,0.58663,1.0714,0.99404,0.975,0.99318,0.82736,0.73571,0.54872,0.90243,0.00155831,0.00155831,0.00155831
31,92.1904,0.94546,0.57109,1.06223,0.80662,0.93863,0.92123,0.71069,0.78205,0.74118,0.93153,0.00154308,0.00154308,0.00154308
32,94.9926,0.88893,0.5279,1.03258,0.96251,0.95,0.96729,0.73082,0.86185,0.64333,0.961,0.00152785,0.00152785,0.00152785
33,97.792,0.9066,0.53889,1.04425,0.97252,1,0.99451,0.78578,0.76993,0.44116,0.94602,0.00151262,0.00151262,0.00151262
34,100.574,0.8786,0.54535,1.04139,0.9953,1,0.995,0.80062,0.81287,0.46518,0.98497,0.00149738,0.00149738,0.00149738
35,103.347,0.92614,0.55345,1.05989,0.9977,1,0.995,0.81734,0.72589,0.43741,0.90308,0.00148215,0.00148215,0.00148215
36,106.165,0.87835,0.52383,1.02974,0.99745,1,0.995,0.77414,0.84387,0.4543,0.97479,0.00146692,0.00146692,0.00146692
37,108.987,0.90821,0.52537,1.04329,0.99767,1,0.995,0.80091,0.70874,0.394,0.90929,0.00145169,0.00145169,0.00145169
38,111.795,0.90911,0.51681,1.05237,0.99627,1,0.995,0.81333,0.74565,0.41541,0.94597,0.00143646,0.00143646,0.00143646
39,114.628,0.86893,0.51191,1.03723,0.99847,1,0.995,0.81664,0.73828,0.41382,0.9162,0.00142123,0.00142123,0.00142123
40,117.457,0.85734,0.51529,1.0549,0.97171,0.925,0.97106,0.7048,0.95431,0.61533,1.04224,0.001406,0.001406,0.001406
41,120.261,0.84797,0.50646,1.03208,0.97423,0.94513,0.96909,0.72506,0.93148,0.57014,1.0675,0.00139077,0.00139077,0.00139077
