epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3108,0.9394,2.45889,1.26994,0.90057,0.93182,0.96221,0.61542,0.89097,2.68908,1.41811,0.00018,0.00018,0.00018
2,37.0574,0.93153,1.3358,1.21681,0.98364,0.68328,0.95,0.62573,0.97377,2.50614,1.43353,0.000376238,0.000376238,0.000376238
3,54.7639,0.96647,1.19853,1.23176,0.94637,0.60159,0.89445,0.57766,0.99835,2.63755,1.44376,0.000568516,0.000568516,0.000568516
4,72.2965,0.9517,1.10711,1.22129,0.81569,0.63636,0.79469,0.4834,1.13216,2.57187,1.61092,0.000756834,0.000756834,0.000756834
5,90.4167,1.12644,1.10478,1.29039,0.82583,0.625,0.80322,0.48906,1.25397,2.37037,1.66737,0.000941192,0.000941192,0.000941192
6,109.287,0.9929,1.0302,1.23309,0.79475,0.70455,0.77981,0.44669,1.33711,2.299,1.83741,0.00112159,0.00112159,0.00112159
7,130.958,1.10992,1.05646,1.32867,0.79395,0.74439,0.80354,0.46559,1.40969,1.88871,1.88761,0.00129803,0.00129803,0.00129803
8,152.793,0.97468,0.94085,1.22228,0.94924,0.84091,0.93578,0.59869,1.15308,1.52688,1.65363,0.00147051,0.00147051,0.00147051
9,175.86,0.97164,0.86994,1.19635,0.77343,0.51136,0.59602,0.32561,1.5315,2.22276,1.84547,0.00163902,0.00163902,0.00163902
10,200.108,1.00963,0.882,1.23169,0.67223,0.47727,0.53268,0.2609,1.77478,2.27213,2.00504,0.00180358,0.00180358,0.00180358
11,226.618,1.02518,0.86153,1.24559,0.01791,0.03409,0.00159,0.00045,4.06832,15.5227,5.58832,0.001802,0.001802,0.001802
12,252.768,0.97352,0.7944,1.19733,0.19887,0.36364,0.12424,0.05132,2.07381,4.6613,2.42124,0.0017822,0.0017822,0.0017822
13,281.908,0.99789,0.76651,1.28736,0.32203,0.39773,0.21428,0.12391,1.35688,2.41238,1.63789,0.0017624,0.0017624,0.0017624
14,310.541,0.99614,0.7249,1.22839,0.22544,0.23864,0.10136,0.0491,1.91937,2.56685,2.1668,0.0017426,0.0017426,0.0017426
15,340.248,1.04499,0.755,1.25731,0.35253,0.27273,0.2516,0.15284,1.67992,2.59685,1.82025,0.0017228,0.0017228,0.0017228
